"","state","city","pop","household_income_mean","household_income_median","debt.proportion","hs.degree.proportion","married.proportion"
"66","Alabama","Duncanville",6435,71123.49441,53829,0.71436,0.87443,0.51673
"67","Alabama","East Brewton",5523,36299.92727,28777,0.33558,0.78657,0.44194
"68","Alabama","Eclectic",2492,88416.93398,65074,0.54355,0.93187,0.73447
"69","Alabama","Eight Mile",9326,54124.804995,48687,0.614095,0.81276,0.50914
"70","Alabama","Elba",1958,47633.98511,34429,0.42027,0.74493,0.49242
"71","Alabama","Elberta",6445,54400.06219,36623,0.59805,0.87927,0.56078
"72","Alabama","Elmore",3187,91743.17368,73545,0.61315,0.92633,0.65558
"73","Alabama","Enterprise",18409,58610.7909625,40673,0.5870725,0.8461025,0.5136675
"74","Alabama","Eufaula",11483,47606.8463525,36972.5,0.4513475,0.806255,0.5162375
"75","Alabama","Eutaw",1390,31462.32026,20820,0.33991,0.72273,0.39527
"76","Alabama","Fairfield",8557,49147.41303,33953,0.575535,0.88457,0.356435
"77","Alabama","Fairhope",18648,81741.0230466667,58309,0.615423333333333,0.922246666666667,0.696023333333333
"78","Alabama","Falkville",5478,48724.67017,42250,0.47331,0.77786,0.5833
"79","Alabama","Fayette",8888,45973.1526733333,38937,0.405206666666667,0.769593333333333,0.560596666666667
"80","Alabama","Five Points",3877,45650.91337,36141,0.48265,0.71027,0.6
"81","Alabama","Flomaton",3584,48904.29057,35597,0.29959,0.78949,0.48453
"82","Alabama","Florence",24189,58466.430852,50715,0.523338,0.850068,0.611982
"83","Alabama","Foley",28029,52250.86697,42307,0.59594,0.9183,0.607693333333333
"84","Alabama","Fort Gaines",2642,47882.19491,37580,0.5287,0.77808,0.64262
"85","Alabama","Fort Payne",7861,60520.151335,44021.5,0.580805,0.73045,0.586725
"86","Alabama","Ft Payne",3764,41869.59068,36155,0.50841,0.73233,0.51244
"87","Alabama","Fyffe",5287,48034.93487,40577,0.54518,0.75466,0.55022
"88","Alabama","Gadsden",21557,41737.03752875,27883,0.49105,0.7786175,0.42245125
"89","Alabama","Garden City",3883,47441.78086,36688,0.42695,0.78059,0.62908
"90","Alabama","Gardendale",9587,69422.86688,54749,0.69025,0.92997,0.65775
"91","Alabama","Geneva",2342,59114.0967,48404,0.40915,0.84365,0.59615
"92","Alabama","Georgiana",1839,52187.33619,41928,0.37638,0.86657,0.58278
"93","Alabama","Geraldine",6383,47824.95926,39894,0.34902,0.72974,0.5421
"94","Alabama","Gilbertown",5357,51212.233345,36481.5,0.309875,0.787595,0.605715
"95","Alabama","Goshen",2852,50805.17963,41333,0.52302,0.77103,0.53426
"96","Alabama","Grand Bay",5574,63193.64691,50378,0.53815,0.75575,0.63068
"97","Alabama","Grant",5516,57702.69068,42144,0.55377,0.77709,0.59527
"98","Alabama","Graysville",3285,51984.50707,41906,0.52476,0.77293,0.53606
"99","Alabama","Greensboro",8641,46431.8286833333,37692,0.39144,0.814686666666667,0.455053333333333
"100","Alabama","Greenville",6014,49849.94709,35350,0.456723333333333,0.792663333333333,0.536066666666667
"101","Alabama","Grove Hill",4894,43665.46179,30019,0.39432,0.78853,0.50613
"102","Alabama","Guin",3301,40725.94767,28051,0.44323,0.78615,0.57257
"103","Alabama","Gulf Shores",3600,55060.95124,44077,0.51125,0.85883,0.50258
"104","Alabama","Guntersville",15505,58076.22627,38290,0.53415,0.813773333333333,0.552966666666667
"105","Alabama","Gurley",2756,62161.76343,46170,0.56287,0.77721,0.60195
"106","Alabama","Hanceville",3053,42121.24684,29596,0.37991,0.76396,0.42475
"107","Alabama","Hartford",5764,52070.48385,35886,0.46117,0.76944,0.61783
"108","Alabama","Hartselle",14027,76794.511625,60831,0.59469,0.91553,0.61865
"109","Alabama","Harvest",19456,91915.878805,83751,0.81206,0.950695,0.631785
"110","Alabama","Hayden",9263,73640.27094,64441,0.64532,0.90476,0.68317
"111","Alabama","Hayneville",6459,47226.272975,27539.5,0.480425,0.76835,0.421315
"112","Alabama","Hazel Green",7793,62200.93227,51870,0.69844,0.86783,0.54384
"113","Alabama","Headland",1894,46123.59234,33357,0.47423,0.77244,0.4884
"114","Alabama","Heflin",7357,49579.7618,33603.5,0.499245,0.74265,0.547415
"115","Alabama","Helena",17364,73951.01752,67805,0.7770125,0.9413225,0.5376975
"116","Alabama","Henagar",3349,43914.88224,25869,0.39831,0.71354,0.45843
"117","Alabama","Highland Home",3982,47893.63765,42455,0.44444,0.76629,0.5207
"118","Alabama","Hokes Bluff",5592,66474.13156,56269,0.57418,0.91567,0.63847
"119","Alabama","Holly Pond",4726,47738.7435,35568,0.5183,0.84571,0.64976
"120","Alabama","Holt",5336,44105.303535,35395,0.56641,0.829275,0.43337
"121","Alabama","Homewood",26088,78188.1264642857,56012,0.699975714285714,0.948412857142857,0.403525714285714
"122","Alabama","Hoover",47501,82815.104484,72815,0.691395,0.931266,0.595009
"123","Alabama","Hueytown",2237,50929.18505,43188,0.62069,0.85486,0.59583
"124","Alabama","Huntsville",110573,66329.3057868966,44208,0.622911379310345,0.87180724137931,0.466623103448276
"125","Alabama","Huxford",4984,45683.62446,35297,0.3308,0.61823,0.28626
"126","Alabama","Ider",6326,47973.83227,37664,0.48156,0.71709,0.63084
"127","Alabama","Irondale",3143,44340.61421,32921,0.62831,0.85491,0.47751
"128","Alabama","Irvington",3270,46064.10236,37546,0.53376,0.7654,0.49035
"129","Alabama","Jack",2196,51186.37166,38175,0.4103,0.72256,0.56766
"130","Alabama","Jackson",1022,51938.28129,27057,0.41139,0.84679,0.59197
"131","Alabama","Jacksonville",12142,64307.09567,56096,0.50209,0.851236666666667,0.588273333333333
"132","Alabama","Jasper",21260,49337.0521683333,35360,0.416275,0.793598333333333,0.553041666666667
"133","Alabama","Jemison",8784,50452.44134,40595,0.45069,0.73323,0.63086
"134","Alabama","Killen",4612,63190.89849,52967,0.55556,0.84913,0.61074
"135","Alabama","Lafayette",6473,45144.16928,33752,0.52829,0.74571,0.43292
"136","Alabama","Lanett",12108,46571.7385533333,37555,0.48725,0.818626666666667,0.50677
"137","Alabama","Leeds",10128,59042.8587,47745,0.571713333333333,0.78583,0.550683333333333
"138","Alabama","Leighton",8350,51148.9517,40333.5,0.48492,0.855155,0.6409
"139","Alabama","Lexington",4258,57700.92414,46339,0.47084,0.87997,0.62967
"140","Alabama","Lincoln",4119,60160.0438,51769,0.5015,0.83524,0.62478
"141","Alabama","Linden",4596,53973.0893,33313,0.40139,0.86704,0.52752
"142","Alabama","Lineville",5151,54274.27231,41308,0.48051,0.80129,0.56344
"143","Alabama","Lipscomb",5260,36969.77954,26039.5,0.374095,0.773,0.315
"144","Alabama","Louisville",5288,42706.872095,31778.5,0.37498,0.646415,0.438875
"145","Alabama","Lower Peachtree",1807,31243.24608,17947,0.27979,0.69771,0.45799
"146","Alabama","Loxley",5810,54194.32593,47781,0.65971,0.74498,0.47419
"147","Alabama","Lynn",2101,46789.64313,32413,0.29569,0.7006,0.54619
"148","Alabama","Madison",30951,92052.71534,81558.5,0.73138,0.9412,0.58095
"149","Alabama","Malone",2063,48429.24141,35519,0.38307,0.71311,0.60216
"150","Alabama","Maplesville",2898,59123.916,43019,0.38286,0.79395,0.54669
"151","Alabama","Marbury",5668,60407.09039,40929,0.7052,0.88918,0.61346
"152","Alabama","Marion",5383,50314.05396,29622,0.34192,0.78461,0.33196
"153","Alabama","Maxwell Afb",1302,30572.65995,21784,0.39916,0.62151,0.16896
"154","Alabama","Mccalla",11069,77016.48259,67933,0.75748,0.88234,0.61601
"155","Alabama","Mcintosh",5223,54241.41671,42755,0.37985,0.75896,0.51974
"156","Alabama","Mckenzie",1329,36333.04107,27877,0.35533,0.75711,0.51411
"157","Alabama","Midfield",3446,31175.96371,27585,0.33067,0.8312,0.30205
"158","Alabama","Mobile",107815,55617.5220875758,41516,0.58307303030303,0.853798484848485,0.435437878787879
"159","Alabama","Monroeville",1385,33880.97805,17610,0.21149,0.86,0.32843
"160","Alabama","Montevallo",4297,42903.702175,33250.5,0.49222,0.807975,0.467465
"161","Alabama","Montgmomery",4044,47036.75431,34673,0.5873,0.88884,0.3107
"162","Alabama","Montgomery",89278,55545.8617178261,41541,0.653501304347826,0.832165217391304,0.436482173913044
"163","Alabama","Moody",9731,62478.311135,50897,0.615365,0.816305,0.630345
"164","Alabama","Moulton",7649,54617.95773,40610.5,0.442705,0.788665,0.56946
"165","Alabama","Mount Olive",3957,69240.81881,57789,0.66148,0.77264,0.69721
"166","Alabama","Mountain Brook",10291,133759.061865,114087,0.646395,0.986505,0.73107
"167","Alabama","Mt Hope",2001,51470.5132,33191,0.35413,0.77569,0.63251
"168","Alabama","Mt Meigs",11991,57304.946665,50120,0.553125,0.84382,0.623835
"169","Alabama","Munford",4574,47594.4998,33780,0.45739,0.75039,0.56336
"170","Alabama","Muscle Shoals",4615,55249.33092,40830,0.54839,0.85181,0.59016
"171","Alabama","Nauvoo",3617,48747.22153,33326,0.36148,0.70717,0.49192
"172","Alabama","New Hope",4241,60142.32294,47653,0.61841,0.83727,0.61543
"173","Alabama","New Site",2673,53679.4326,38765,0.4533,0.78602,0.62
"174","Alabama","Northport",25995,62167.251638,48114,0.611722,0.9048,0.510446
"175","Alabama","Notasulga",9021,50555.553785,44469,0.41692,0.85201,0.495805
"176","Alabama","Oakman",3834,49882.7588,40221,0.39901,0.78462,0.6155
"177","Alabama","Ohatchee",4760,68574.0926,54737,0.50558,0.7784,0.60999
"178","Alabama","Opelika",17787,39421.93516,22297,0.526823333333333,0.756503333333333,0.377393333333333
"179","Alabama","Opp",5029,41522.0587866667,28227,0.463443333333333,0.694626666666667,0.50375
"180","Alabama","Orange Beach",3709,87365.54709,66510,0.48943,0.96901,0.72012
"181","Alabama","Owens Cross Roads",13578,131853.33981,117797,0.75554,0.99448,0.69934
"182","Alabama","Oxford",6781,64881.13065,54236,0.58298,0.84479,0.61507
"183","Alabama","Ozark",11042,54643.070115,43858,0.5505975,0.818715,0.54375
"184","Alabama","Pell City",12549,58381.657905,42352.5,0.58397,0.81736,0.643805
"185","Alabama","Pensacola",5724,60166.62768,47110,0.55622,0.93632,0.63038
"186","Alabama","Perdido",3829,52018.51017,40362,0.39462,0.77117,0.49944
"187","Alabama","Phenix City",56287,54029.860837,39493.5,0.619854,0.817681,0.49952
"188","Alabama","Phil Campbell",8350,48034.06102,35207,0.53516,0.773975,0.59905
"189","Alabama","Piedmont",3374,48109.53876,37427,0.54623,0.79605,0.62273
"190","Alabama","Pike Road",1407,86288.00655,67048,0.72457,0.91032,0.67704
"191","Alabama","Pinckard",4178,63156.35881,43558,0.60067,0.87971,0.61371
"192","Alabama","Prattville",15680,54678.7497666667,34045,0.632283333333333,0.859403333333333,0.502056666666667
"193","Alabama","Priceville",4980,79283.47357,68859,0.66532,0.89394,0.64873
"194","Alabama","Prichard",9044,28949.797728,19812,0.345058,0.766374,0.323024
"195","Alabama","Princeton",1972,45111.94155,36759,0.41358,0.8211,0.57074
"196","Alabama","Quinton",1457,44611.35066,33797,0.43418,0.81076,0.66025
"197","Alabama","Rainbow City",3505,51950.2313,39890,0.52523,0.88884,0.41997
"198","Alabama","Rainsville",13177,54531.50953,44835.5,0.558495,0.817765,0.590275
"199","Alabama","Ranburne",5048,56879.65236,45105,0.40555,0.79325,0.71929
"200","Alabama","Red Bay",2775,37643.96883,30548,0.31837,0.81237,0.54873
"201","Alabama","Rehobeth",7174,61601.87721,45969,0.61798,0.84949,0.5854
"202","Alabama","Roanoke",4723,49525.97726,38973,0.48864,0.8086,0.58338
"203","Alabama","Robertsdale",5029,52492.00804,44511,0.615,0.83045,0.51555
"204","Alabama","Rockford",3984,34093.26656,26647,0.51437,0.67509,0.3725
"205","Alabama","Russellville",10338,53168.4811,34347,0.508355,0.68801,0.478805
"206","Alabama","Salem",7537,66814.04569,54662,0.61154,0.88548,0.61447
"207","Alabama","Samson",4815,40612.9458,29858,0.39917,0.77749,0.5569
"208","Alabama","Sand Rock",5248,49347.65084,39957,0.47689,0.83289,0.62619
"209","Alabama","Satsuma",1228,48928.37136,32781,0.26286,0.81235,0.44366
"210","Alabama","Scottsboro",14619,44685.9549866667,36806,0.463903333333333,0.778463333333333,0.522543333333333
"211","Alabama","Section",7090,47542.84645,31799,0.39434,0.71311,0.63916
"212","Alabama","Selma",25730,40959.5312544444,25325,0.481261111111111,0.767364444444444,0.401255555555556
"213","Alabama","Semmes",17245,68090.60917,58011.5,0.65091,0.878395,0.630305
"214","Alabama","Sheffield",5769,45354.340185,36731.5,0.637955,0.79287,0.47055
"215","Alabama","Shelby",3632,67623.82529,54942,0.46738,0.82597,0.67662
"216","Alabama","Shorter",2325,55722.23585,44109,0.47681,0.84587,0.56315
"217","Alabama","Silverhill",7814,53943.53524,44215,0.66038,0.79321,0.5897
"218","Alabama","Skipperville",2357,65012.54436,50963,0.4564,0.85339,0.70185
"219","Alabama","Slocomb",8225,50524.194685,37195,0.428085,0.797805,0.559085
"220","Alabama","Somerville",7717,58124.48151,47359.5,0.532585,0.79922,0.62152
"221","Alabama","Southside",8202,70167.90082,67622,0.69993,0.90664,0.65161
"222","Alabama","Steele",3780,56660.80967,51712,0.61147,0.87424,0.66232
"223","Alabama","Sulligent",4853,41728.99854,35593,0.33983,0.71994,0.69458
"224","Alabama","Summerdale",4195,46375.76473,28775,0.49231,0.77583,0.40168
"225","Alabama","Sweet Water",2261,49916.31621,35878,0.41562,0.79655,0.51217
"226","Alabama","Sycamore",2261,39856.64283,29458,0.35641,0.64684,0.67339
"227","Alabama","Sylacauga",5457,49596.16663,39420,0.38458,0.77474,0.54258
"228","Alabama","Talladega",13945,46336.0851025,38985,0.5449675,0.7581,0.4298225
"229","Alabama","Tallassee",7016,63867.22265,49984,0.64897,0.86757,0.57483
"230","Alabama","Tanner",6313,79600.7733,55983,0.51599,0.85296,0.58237
"231","Alabama","Tarrant",5082,30382.55808,21939,0.63771,0.76976,0.36093
"232","Alabama","Thomasville",1319,40832.44494,27521,0.24201,0.73424,0.6067
"233","Alabama","Thorsby",5993,57199.59365,48406,0.60603,0.80822,0.50621
"234","Alabama","Toney",12302,65208.269325,47501,0.69854,0.89549,0.56925
"235","Alabama","Town Creek",4581,55183.25048,38743,0.45703,0.79463,0.62994
"236","Alabama","Trinity",5475,56912.14107,44873,0.43721,0.80537,0.58503
"237","Alabama","Troy",10191,48236.1371566667,34800,0.52881,0.757346666666667,0.482776666666667
"238","Alabama","Tuscaloosa",45785,59284.5525266667,40451,0.634015,0.876208333333333,0.379580833333333
"239","Alabama","Tuscumbia",7157,49066.02135,38556,0.473663333333333,0.800103333333333,0.49154
"240","Alabama","Tuskegee",3718,45293.95883,29169,0.430466666666667,0.83846,0.440463333333333
"241","Alabama","Tuskegee Institute",1417,35696.35181,23159,0.44654,0.80645,0.22985
"242","Alabama","Union Grove",6325,69679.85572,51827,0.57452,0.87456,0.67348
"243","Alabama","Union Springs",10678,41846.1888033333,32334,0.34257,0.666056666666667,0.36408
"244","Alabama","Vernon",5249,46151.18843,31002,0.34975,0.79537,0.64455
"245","Alabama","Vestavia Hills",13919,112124.966013333,95386,0.688693333333333,0.947213333333333,0.62352
"246","Alabama","Vincent",1074,79352.53226,71650,0.52862,0.7808,0.55276
"247","Alabama","Vinemont",9140,57918.5709,41551.5,0.59526,0.80716,0.628055
"248","Alabama","Wadley",2132,41942.94041,32649,0.31818,0.71373,0.44481
"249","Alabama","Warrior",13351,54464.2482866667,46048,0.521673333333333,0.797926666666667,0.519123333333333
"250","Alabama","Waterloo",2081,52965.79935,40665,0.50575,0.8066,0.5748
"251","Alabama","Webb",5233,49128.26434,37398,0.51065,0.79983,0.56678
"252","Alabama","Wetumpka",17712,67394.1294266667,48419,0.67745,0.873846666666667,0.528563333333333
"253","Alabama","Wilmer",11729,72025.43308,66391,0.60284,0.8025,0.722705
"254","Alabama","Woodstock",6511,54327.14142,40705,0.6687,0.83314,0.55533
"255","Alabama","Woodville",3820,49725.33773,36733,0.43879,0.77491,0.64863
"256","Alabama","York",4639,28538.30947,17594,0.34704,0.76941,0.3233
"257","Alaska","Anchorage",150561,90183.1778148276,68853,0.692560689655172,0.916368275862069,0.44115
"258","Alaska","Copper Center",2554,58265.87052,44145,0.33719,0.87655,0.43071
"259","Alaska","Craig",2513,71044.56179,58058,0.40064,0.8942,0.46409
"260","Alaska","Delta Junction",4794,88708.35406,75492,0.38116,0.93997,0.57439
"261","Alaska","Dillingham",2335,85269.64556,65062,0.49296,0.93653,0.48237
"262","Alaska","Eagle River",3727,136547.39117,119141,0.75689,0.9409,0.52381
"263","Alaska","Egegik",1474,63743.59232,50829,0.22671,0.87296,0.46914
"264","Alaska","Eielson Afb",2727,72048.57612,57829,0.76316,0.96733,0.5837
"265","Alaska","Fairbanks",59503,84623.0578941667,69488.5,0.655989166666667,0.927391666666667,0.460595
"266","Alaska","Fort Yukon",1218,48419.75304,29230,0.06548,0.73247,0.32554
"267","Alaska","Haines",2626,72026.04875,54018.5,0.372335,0.90968,0.50197
"268","Alaska","Healy",2060,90607.60405,83141,0.45614,0.95228,0.50219
"269","Alaska","Hoonah",2062,72846.11445,56040,0.34737,0.90531,0.52844
"270","Alaska","Houston",1977,65147.33236,50279,0.60071,0.90214,0.51069
"271","Alaska","Jber",13268,78750.66731,67780.5,0.39224,0.95567,0.504725
"272","Alaska","Juneau",20429,99679.1615175,83072.5,0.6984225,0.9552175,0.5017675
"273","Alaska","Kasilof",10112,79227.5953,69027,0.65495,0.96027,0.56891
"274","Alaska","Kenai",7463,78205.93386,63107,0.65836,0.89725,0.54683
"275","Alaska","Ketchikan",10677,90986.2648166667,86566,0.660656666666667,0.92986,0.526753333333333
"276","Alaska","Klawock",2139,55009.16414,40434,0.28213,0.91667,0.4
"277","Alaska","Kodiak",4368,78463.238925,66813.5,0.47889,0.89118,0.60882
"278","Alaska","Larsen Bay",1885,72465.1278,64945,0.37372,0.85251,0.50841
"279","Alaska","Moose Pass",1167,93420.98796,75703,0.52455,0.96091,0.68776
"280","Alaska","Naknek",970,90148.97711,80574,0.45588,0.91988,0.50222
"281","Alaska","Nikiski",5863,79982.12284,70339,0.56714,0.91282,0.39883
"282","Alaska","Ninilchik",400,48034.89454,29491,0.10204,0.96575,0.60854
"283","Alaska","Nome",3971,90000.355,77420,0.65906,0.92799,0.40288
"284","Alaska","North Pole",16505,89593.193345,76604.5,0.79096,0.95147,0.496295
"285","Alaska","Palmer",17450,93804.3079933333,86933,0.74175,0.939313333333333,0.561836666666667
"286","Alaska","Port Graham",1007,55992.68856,42365,0.25781,0.95542,0.47101
"287","Alaska","Rampart",1428,58977.84216,45290,0.26357,0.82985,0.45303
"288","Alaska","Saint Mary's",7914,49364.9771,38526,0.28284,0.77501,0.32517
"289","Alaska","Sitka",8943,85140.50643,72856,0.54938,0.92705,0.516885
"290","Alaska","Skagway",999,82061.50399,69877,0.65471,0.97348,0.57684
"291","Alaska","Soldotna",6610,82337.36797,69953,0.65196,0.94569,0.53878
"292","Alaska","Sterling",6830,84067.36193,71259,0.58228,0.9446,0.57783
"293","Alaska","Stony River",1518,49982.52134,39305,0.38978,0.7983,0.39122
"294","Alaska","Talkeetna",2083,63695.58168,51303,0.38162,0.88073,0.52356
"295","Alaska","Tatitlek",4434,98648.66698,81903,0.4795,0.95654,0.40606
"296","Alaska","Tuntutuliak",9888,47974.86644,36513,0.194,0.73427,0.39011
"297","Alaska","Unalaska",4619,107394.63092,92807,0.7277,0.82841,0.47388
"298","Alaska","Wasilla",42361,86840.9690688889,81418,0.727842222222222,0.920991111111111,0.519632222222222
"299","Alaska","Willow",2118,74582.24659,64229,0.54221,0.89662,0.55817
"300","Alaska","Wrangell",2387,63304.17306,48096,0.4349,0.90154,0.57101
"301","Alaska","Yakutat",643,76224.44736,70017,0.49265,0.94521,0.40694
"302","Arizona","Aguila",4560,69275.38061,52998,0.47548,0.81702,0.66578
"303","Arizona","Anthem",7637,108479.99786,83027,0.69944,0.96558,0.77509
"304","Arizona","Apache Junction",31412,52460.3159471429,38641,0.407442857142857,0.898281428571429,0.643347142857143
"305","Arizona","Arlington",7835,52719.92929,45835,0.63516,0.765485,0.576255
"306","Arizona","Avondale",46855,63595.1597216667,56760.5,0.737696666666667,0.773718333333333,0.4670075
"307","Arizona","Benson",3729,38941.0033,29392,0.41912,0.84596,0.52704
"308","Arizona","Bisbee",3631,43760.47468,29692,0.55176,0.89411,0.51426
"309","Arizona","Blue",2822,56772.08082,45663,0.29085,0.80365,0.4804
"310","Arizona","Bowie",1540,42706.19262,32309,0.36655,0.79324,0.56124
"311","Arizona","Buckeye",36246,76191.061324,72244,0.786826,0.871988,0.632388
"312","Arizona","Bullhead City",19430,49384.151516,34796,0.47973,0.835778,0.524344
"313","Arizona","Casa Grande",42052,61688.6538544444,48566,0.575537777777778,0.850231111111111,0.561815555555556
"314","Arizona","Cave Creek",30577,108064.88865625,96907.5,0.76553875,0.97645625,0.7158325
"315","Arizona","Chandler",136225,84517.1837628125,66805.5,0.7762671875,0.9006978125,0.548245
"316","Arizona","Chinle",8381,37275.35409,29894.5,0.158665,0.77745,0.304445
"317","Arizona","Chino Valley",7814,56129.83654,44360,0.656,0.9019,0.53765
"318","Arizona","Cibecue",4857,44083.15659,31908,0.23707,0.73782,0.46856
"319","Arizona","Colorado City",10790,51869.47558,39177,0.3209,0.67401,0.56097
"320","Arizona","Congress",3277,54072.71688,37692,0.5072,0.9039,0.6057
"321","Arizona","Cornville",5875,60223.26003,44527,0.64203,0.8726,0.64092
"322","Arizona","Corona",5493,73946.46725,61733,0.72126,0.89577,0.61458
"323","Arizona","Corona De Tucson",10247,90076.44003,83419,0.77743,0.90294,0.70405
"324","Arizona","Cottonwood",22886,50686.133595,34584.5,0.62306,0.8397625,0.5169675
"325","Arizona","Crown King",2735,42578.00667,37941,0.44027,0.9015,0.48775
"326","Arizona","Dolan Springs",3776,47337.86008,38651,0.49284,0.86671,0.52983
"327","Arizona","Douglas",2257,29977.23709,20447,0.44691,0.56642,0.54892
"328","Arizona","Duncan",2717,49097.47634,31946,0.40804,0.87032,0.5345
"329","Arizona","Ehrenberg",2010,44059.01036,37649,0.21282,0.70012,0.56517
"330","Arizona","El Mirage",19264,56842.2247666667,43442,0.668955,0.81639,0.561766666666667
